feature	Abiotrophia	Acidaminococcus	Acinetobacter	Actinomyces	Acutalibacter	Adlercreutzia	Aggregatibacter	Akkermansia	Alistipes	Alkalihalobacillus	Amedibacterium	Aminipila	Anaerobutyricum	Anaerococcus	Anaerostipes	Anaerotignum	Arachnia	Bacillus	Bacteroides	Barnesiella	Berryella	Bifidobacterium	Blautia	Bradyrhizobium	Butyricicoccus	Butyricimonas	Butyrivibrio	Campylobacter	Carnobacterium	Christensenella	Cloacibacillus	Cloacibacterium	Clostridioides	Clostridium	Collinsella	Coprobacter	Coprococcus	Corynebacterium	Cruoricaptor	Cupriavidus	Cutibacterium	Cytobacillus	Desulfovibrio	Dialister	Dolosigranulum	Duncaniella	Dysosmobacter	Eggerthella	Eikenella	Enterocloster	Enterococcus	Erysipelatoclostridium	Escherichia	Eubacterium	Ezakiella	Faecalibacillus	Faecalibacterium	Faecalibaculum	Faecalicatena	Faecalitalea	Fannyhessea	Fastidiosipila	Filifactor	Finegoldia	Flavonifractor	Flintibacter	Fusobacterium	Gardnerella	Gemella	Gordonibacter	Granulicatella	Haemophilus	Helcococcus	Hungatella	Intestinibaculum	Intestinimonas	Jeotgalibaca	Klebsiella	Komagataeibacter	Lachnoanaerobaculum	Lachnoclostridium	Lachnospira	Lacrimispora	Lacticaseibacillus	Lactiplantibacillus	Lactobacillus	Lactococcus	Lancefieldella	Latilactobacillus	Lautropia	Lawsonella	Leptotrichia	Leuconostoc	Ligilactobacillus	Limosilactobacillus	Longibaculum	Longicatena	Mageeibacillus	Massilistercora	Mediterraneibacter	Megamonas	Megasphaera	Mesorhizobium	Methylobacterium	Methylorubrum	Minimicrobia	Mobiluncus	Mogibacterium	Monoglobus	Murdochiella	Muribaculum	Nanosynbacter	Ndongobacter	Neisseria	Niallia	Novisyntrophococcus	Odoribacter	Olsenella	Oscillibacter	Paeniclostridium	Pandoraea	Parabacteroides	Paraprevotella	Parolsenella	Parvimonas	Pauljensenia	Peptacetobacter	Peptoniphilus	Phascolarctobacterium	Phocaeicola	Phoenicibacter	Porphyromonas	Prevotella	Propionibacterium	Propionimicrobium	Pseudobutyrivibrio	Pseudomonas	Pusillimonas..ex.Kitahara.et.al..2021.	Ralstonia	Romboutsia	Roseburia	Rothia	Ruminiclostridium	Ruminococcus	Ruthenibacterium	Sarcina	Schaalia	Sodaliphilus	Solibaculum	Sphingobium	Staphylococcus	Streptobacillus	Streptococcus	Sutterella	Treponema	Trueperella	Turicibacter	Turicimonas	Veillonella	Vescimonas	Weissella
NS10	14	413	0	9	0	265	0	111	230	0	45	0	72940	0	82656	2	4	1	3518	0	276	202472	179159	0	81	2	0	759	0	184	0	15	18617	47715	386805	0	349097	0	0	0	0	0	0	0	0	0	1943	837	0	2443	6164	1381	13085	1108	0	1292	537786	0	232	17097	2	0	89	35	1277	408	21	0	22	1899	0	0	0	11	0	260	0	0	6	28	9939	4065	208	0	50	11	3160	0	4	0	0	0	0	0	0	1442	4460	32	268	211370	1	4556	0	0	0	1	0	3	51	4	0	2	0	0	0	38	12	9	1495	43	0	1510	151	8	0	0	6	14	322	10691	1	0	6660	4	7	2	351	1983	0	183	19949	0	0	17	4687	0	13	0	89	0	0	0	1466	147	15	0	19	0	2	2988	0
NS11	0	1100	0	1	2	26	0	4117	23939	0	43	0	5822	0	17495	0	0	0	488876	10	11	27958	5754	0	33	877	0	27	0	311	0	5	239	3295	9306	0	14240	0	0	0	0	0	8	9	0	22	4402	391	0	888	1747	156	24331	539	0	47	172960	0	44	2198	0	0	13	0	1041	573	0	0	27	78	17	102	0	9	0	232	0	0	7	6	276	354	109	0	0	1	714	0	0	0	0	0	0	2919	0	77	51	12	49	7458	2	116164	0	0	0	3	0	1	33	7	0	0	1	0	0	0	10462	3	956	4	0	203211	42	4	0	1	0	0	2494	491867	0	0	547657	0	0	0	6693	742	0	65	6711	4	0	58	5027	0	11	103	164	0	24	0	922	2576	9	0	26	0	3	3959	2
NS13	0	0	0	13	9	1	0	12	14656	0	92	0	297307	61	649213	0	0	35	290916	0	0	106	242454	0	14	116	0	387	0	23	0	0	177878	23356	12	1	76789	0	0	0	0	0	0	0	0	0	1349	7722	0	1232	1516	3891	0	485	0	680	296507	0	592	623	1	0	0	117	3196	6	0	0	12	68	25	13	0	185	0	38	0	0	16	17	6700	2212	3206	0	17	37	542	0	0	0	1	0	0	14	0	736	8	0	1241	17969	0	1	0	0	0	0	0	9	3401	2	0	0	3	0	0	3	41	0	759	0	0	2381	39	0	0	0	0	21	1	76058	0	1	105	0	0	0	0	78	0	0	10990	0	0	9	316	0	7	0	67	0	20	0	4778	0	27	0	623	0	15	1228	0
NS21	13	0	0	5	2	0	3	17	165	0	35	1	5816	0	210699	1	4	3	334123	1	0	2064	19732	0	30	3804	0	845	0	20	0	0	4338	17142	13	0	24577	767	0	0	0	0	4	0	0	0	3986	1659	0	3779	207	607	18989	74	0	55	736737	0	372	141	2	0	0	0	45364	0	5	0	54	0	11	281	0	5	0	37	0	95	4	3	727	500	401	0	0	0	83	0	0	4	0	0	0	6	2	149	8303	46	256	44785	0	5	0	0	0	2	0	10	20	0	0	1	0	0	0	1	32	0	6027	0	0	14132	0	0	0	0	0	3	10	564912	0	0	42	0	1	2	0	54	0	33	135776	2	0	921	3169	0	5	0	13	0	0	5	4721	12	26	0	4	0	3327	179	0
NS25	4	16384	0	2	6	0	0	11	826	0	173	0	4657	0	46358	17	5	0	473754	43	0	3244	12775	0	13	180	0	4015	0	29	0	0	2242	13546	3	0	22647	0	0	0	0	0	12	0	0	2	13490	794	0	3543	40783	1237	843	1518	0	692	773950	4	161	88	6	0	0	1	86817	35	2	0	1	32	0	18	0	30	0	655	0	0	23	14	2737	159	467	0	5	0	31	0	0	0	0	0	1	5	0	548	280	0	82	30566	0	0	0	0	0	0	0	0	58475	0	2	0	0	0	0	5	750	0	13218	4	0	20784	92	0	73	0	1	3	11737	532995	0	0	37	0	2	0	1395	3335	0	261	15879	2	0	7	1334	0	0	0	1760	0	0	0	202	1925	15	0	170	2	7	355	0
NS27	62	200	0	5	0	177	3	12247	10317	0	38	0	60302	7	388380	0	4	0	229819	5	32	227356	37398	0	3	21	0	1495	0	331	0	0	1243	19922	15808	0	34509	0	897	0	0	0	0	6653	0	0	10495	316	0	641	189	2015	0	745	0	112	787525	0	329	29322	0	0	0	1	696	2	2	0	29	137	18	1544	0	0	0	140	0	0	12	23	203	1672	1055	7	3	593	340	0	0	0	0	3	1	1	0	101	265	38	55	19855	0	89	0	0	0	0	0	12	49	2	0	0	0	0	0	4	3	440	406	0	0	23370	624	1	59	0	0	4	6	181277	3	2	22	0	1	0	0	1268	0	948	48984	1	0	19857	252	291	1	0	66	0	55	0	34836	1235	14	0	29	1	359	5118	0
NS28	0	248	0	6	5	54	4	132909	29990	0	280	0	29347	15	109282	0	0	0	110154	25	4	20277	12955	0	7	384	2	45937	0	100	2	0	1960	10135	1205	4	93679	70	239	0	0	30	0	23577	50	0	5496	105	0	332	1430	193	16061	365	14	1156	726329	0	90	381	1	1	0	3	610	8	199	0	0	4	41	922	0	0	3	1210	0	0	5	35	581	6715	3515	56	0	43	1081	0	0	0	6	0	0	46	0	1746	425	56	75	9197	0	103	0	0	0	0	13	7	63	12	0	0	5	0	0	2	4972	473	2733	0	0	78242	632	0	33	0	0	65	5296	21262	0	68	602003	0	2	0	16	2643	0	49	78152	0	0	746	670	82	363	154	148	0	0	0	4816	14398	13	1	157	0	320	5045	0
NS29	0	2123	0	34	3	0	0	19	5221	7	5574	0	1628	11	164634	0	5	1886	43582	0	0	491425	70563	0	4	0	0	2166	0	949	0	0	16634	140393	1589	1	12022	25	0	0	0	44	0	0	0	0	5982	46412	0	29447	7799	37218	3424	12764	1	289	328720	0	808	3039	0	0	0	11	8700	0	21	0	22	1775	17	6	0	3743	0	796	3	0	0	7	72320	3601	111571	4	2	3	3814	0	9	0	0	0	30	83	17	908	215202	0	398	61661	27	6	0	0	0	4	3	163	28197	1	0	3	0	0	0	8	2	9	14158	2	0	638	54	0	1432	0	7	0	1	88094	0	1	189	0	3	0	0	2112	0	7726	38107	7	7	91	112496	14	58	0	2770	0	0	0	6499	0	9	0	446	0	33	718	0
NS30	14	570	75	45	0	2	0	55	965	5	1589	0	66132	15	134252	0	20	35	45313	0	0	114617	118533	0	0	4	0	536	0	23	0	0	22654	76625	1320	0	37266	0	0	0	0	0	1	0	5	0	1171	6818	0	5423	18068	5956	150599	4647	61	51	503736	0	118	544	3	0	44	6	315	10	2	0	56	578	58	0	0	18	530	17	0	0	47	13	1447	1951	5588	10	0	9	275	1	0	0	0	0	1	366	0	181	14677	11	481	497017	3	6	3	5	0	183	0	13	2243	1	0	23	0	0	0	0	5	2	1654	0	0	294	5	0	107	0	22	10	1	8430	2	0	367	0	0	0	0	119	0	560	361533	4	0	127	259	9	16	0	186	0	0	0	6251	0	65	0	74	43	72	1118	18
NS32	0	0	0	11	23	95	0	7929	19901	0	100	0	29094	11	14533	1	1	5	179069	9	2	18289	16956	0	9	5708	0	33494	0	342	0	0	769	52819	3928	57	525564	10	0	0	0	0	330	0	0	0	14925	91	0	1736	6034	350	20050	608	1	212	812203	0	194	500	0	0	3	0	847	3	0	404	17	320	0	13	0	10	2	867	0	0	48	5	713	2983	1262	0	0	1	49	0	3	0	0	0	5	9449	7	265	60	116	237	36168	2	0	0	0	0	17	1	9	28	3	0	0	0	0	0	4	6817	1	7415	0	0	17849	0	1	7	1	2	0	1923	86138	0	17	200726	0	0	2	0	2318	0	140	50360	1	0	12161	3590	0	25	49	1425	0	0	0	2370	4367	24	0	93	1	9	7651	0
NS34	0	0	0	10	5	0	0	8278	10852	0	29	0	577	913	2234	0	0	0	1848498	0	0	15049	2678	0	0	7	0	479	0	113	0	0	2356	3232	40	0	2483	3	133	0	0	0	0	139	0	0	2474	2528	0	5007	1281	2428	74146	936	64	189	10446	0	70	559	0	15	7	410	1983	1	1347	0	20	376	26	2	12	814	3	736	0	0	0	0	1259	444	241	1	1	0	0	0	0	0	260	2	0	0	0	163	100	26	0	120270	0	3	0	0	0	0	40	2	1031	0	0	0	0	5	0	3	6628	0	1353	1	0	56153	0	1	37	0	0	708	6822	618	0	180	339	0	5	0	34	257	0	53	2939	0	11	1728	3601	0	898	0	206	0	0	2	1971	0	36	4	3550	0	32	8992	0
NS36	0	0	905	20	11	977	0	599864	124885	0	160	0	14378	96	61118	1	4	0	275531	28	13	30958	10514	0	6	4857	2	3441	0	677	0	46	5477	107210	18714	0	2809	61	115	0	0	0	773	0	0	0	14919	2606	0	6136	6382	986	891	1010	93	3564	106949	0	324	6075	8	12	0	89	41029	1427	10	0	16	126	56	0	0	4050	0	42465	1	0	16	3	8006	101	3081	0	0	276	593	0	0	0	1	0	0	49	0	3719	1323	0	595	12856	0	6	1	0	0	0	4	13	289919	10	0	12	0	2	0	0	5893	3	17415	0	0	96295	27	1	0	1	0	215	17667	176332	0	47	187	5	0	0	1959	18768	0	1274	7522	1	0	4138	27024	0	61	0	682	0	2425	0	10201	8062	33	1	3386	0	2	2187	0
NS38	0	0	2798	162	16	2051	0	303113	33475	0	147	0	23803	0	371507	0	0	0	452710	11	0	286371	19711	0	0	1370	5	73	0	1213	3	264	2280	16580	32888	1	95961	9	0	0	0	0	1859	5820	0	12	7479	1267	0	9783	3958	596	75739	824	0	1437	175822	0	566	1067	0	0	0	0	2225	5	7	0	17	971	14	628	0	3	0	1900	0	0	24	0	731	7974	2062	0	16	0	144	0	0	11	0	0	2	3750	6	1632	994	188	1698	4883	0	12	0	0	0	4	0	13	8479	19	67	7	0	0	0	3	5453	33	8215	0	0	54451	25	8	86	0	0	0	4	133349	0	0	12	0	0	0	1433	524	0	683	14990	43	0	10147	7115	0	6	0	555	0	0	0	5956	5255	20	0	224	0	71	5454	0
NS39	0	0	1165	256	0	31	3	5449	25972	0	197	0	10155	0	17531	0	6	0	168610	8	3	85863	20585	0	4	447	0	1144	0	346	7	0	3577	10100	9806	3509	139261	0	0	0	0	0	0	18	0	3	9384	148	0	1589	447	249	15832	374	11	1126	1413054	1	73	578	2	0	34	0	1256	5	32	23	101	36	37	3304	0	7	0	556	0	0	5	3	190	8227	809	0	0	6	128	0	0	0	0	0	0	8	0	723	148	12	104	15795	26615	0	0	0	0	16	0	15	23	1	0	8	0	112	0	0	8005	0	2971	0	0	17059	0	1	2540	1	17	0	3405	127660	0	3	27560	0	0	0	56	190	0	258	9788	14	0	2457	1399	24	0	28	65	0	0	0	3595	5414	57	18	285	0	912	6306	0
NS4	0	0	0	0	1	0	6	14	1423	0	112	0	5716	0	424358	0	0	0	180764	5	0	56201	9465	0	16	8	0	288	0	0	0	0	518	4250	3197	1	4975	0	0	0	0	0	0	0	0	0	1134	403	6	1989	308	665	78431	158	0	247	746592	0	48	31	0	0	61	3	1220	0	9	1	14	14	5	3883	0	0	2	98	0	0	1	0	656	55320	1155	0	0	90	28	0	0	0	0	0	0	17	0	162	367	0	0	11551	0	2	0	0	0	0	0	0	19	0	0	0	0	0	0	0	901	0	2303	0	0	4130	17	0	18	0	0	42	1	568646	0	0	18	0	0	0	0	40	0	6	45081	5	0	3373	19	0	1	0	18	0	0	0	3064	13	17	0	194	0	278	863	0
NS40	11	0	0	6	32	111	0	32	7656	0	209	0	54022	11	49034	0	6	4	48371	34	0	140629	39608	0	45	100	0	991	0	120	0	0	1581	14195	35300	0	117019	3	0	0	0	0	1	5	0	0	39310	131	0	1847	2157	2952	13426	1325	5	922	1061433	2	284	1918	27	5	27	37	4916	13	51	20	58	1099	0	52	0	39	62	619	0	155	9	4	6118	2376	2884	0	99	11	546	0	1	10	0	0	59	20566	5	1185	331	166	466	46636	11342	962	0	0	0	31	1	35	206867	43	0	10	0	0	0	3	980	3618	14637	0	0	41247	791	14	52	0	9	36	707	56705	3	58	25990	3	1	0	152	1482	5	87	35224	0	0	474	13906	7	24	0	15966	0	19	0	2040	150	122	0	38	0	20	67926	0
NS41	6	0	0	0	0	7	0	2904	23105	0	91	0	1143	0	4258	0	0	0	242262	44	0	4292	2922	0	22	854	0	11666	0	102	0	0	475	3933	1159	0	234243	0	0	0	0	0	0	0	0	1	5314	32	0	1139	2777	137	955	351	0	10	575880	0	63	871	0	0	0	0	1056	0	0	0	0	21	0	61	0	8	15	702	0	0	0	1	143	1269	571	0	9	0	26	0	0	0	0	0	0	3080	2	199	65	129	38	4638	6821	86	0	0	0	3	0	0	3180	0	0	6	0	0	0	9	5483	96	4076	0	0	126481	1335	2	2	1	1	4	447	125318	0	18	748472	1	0	1	1984	2472	0	57	30963	1	0	1437	1148	0	0	0	466	0	0	0	967	2068	4	0	17	0	2	28869	0
NS46	0	1	2575	539	14	16698	0	5944	21214	1	114	52	36791	89	73329	0	0	0	252701	29	0	115540	50283	1	3	2723	0	12056	0	4831	0	114	8879	139159	525	16	602890	0	241	0	2	0	0	0	6	0	19957	15894	0	1234	2721	5784	64042	2735	114	2563	276704	0	9801	3193	0	2	133	133	3416	123	2	0	71	1920	135	33	3	170	130	1214	0	0	18	5	1870	5876	3798	2	8	2679	358	7	4	34	1	0	0	43	9	2180	6287	46	902	89512	0	13	5	0	0	0	5	121	14301	0	0	2	10	2	0	2	3799	11	7346	0	0	12519	363	0	43	4	0	117	14	160625	0	122	1212	0	0	1	0	1507	7	1116	35105	114	0	27631	32263	0	15	0	248	117	3855	0	5055	0	111	19	29695	0	99	13562	0
NS51	6	0	0	48	1	31	0	4	208	0	203	0	87276	189	465802	0	4	2	7171	0	155	220644	94704	85	70	4	0	144	0	55	0	0	584	147244	1359	0	26928	39	62	5	0	0	16	0	0	0	2334	472	3	754	1809	6757	56292	433	500	157	556262	0	913	568	13	0	0	226	1462	84	189	1	74	12	45	69	0	1600	2	86	3	0	7	3	1221	1354	1923	24	91	2423	295	1	0	0	0	0	0	10	47	31	75	5	88	319768	1	0	1917	0	34	0	5	10	5267	8	0	0	1	0	6	9	0	3	854	3	2	1320	47	124	1	0	43379	449	340	16301	0	95	182	6	2	1	43	78	1062	2961	87210	100	95	4026	491	31358	60	0	144	0	3	0	12050	0	40	0	1156	0	265	2358	0
NS55	0	0	0	750	4	977	0	412	688	0	421	0	76738	0	207074	0	1	9	67896	0	0	35896	97659	0	65	34	3	34	0	362	0	0	5608	70162	13350	0	134977	2	0	0	2	0	0	0	0	0	2417	7606	0	2260	1460	1133	29004	1005	0	71035	640910	0	379	4398	0	0	26	38	1719	8	0	0	29	1013	56	6	0	12	3	129	0	0	50	87	2175	20232	1687	6	0	104	1040	0	0	0	0	0	0	14	13	65164	50	55	173	269728	0	7	0	0	0	42	0	6	3729	15	0	6	0	0	0	0	967	3	507	8	0	630	0	8	0	0	3	7	7	60486	0	0	64	0	1	15	0	401	0	3333	300947	8	0	3009	2423	0	14	0	23	0	0	0	7190	0	55	15	840	0	66	2226	0
NS58	35	0	0	482	0	0	6	8	32	6	96	0	74889	0	440018	0	5	75	428	0	0	53699	842086	15	4	0	52	1519	0	30	0	0	1528	34917	20653	0	102597	71	0	0	0	0	0	0	0	0	255	461	3	288	203	1429	0	118	0	22038	55613	2	138	430	10	0	6	0	355	25	21	0	559	69	143	404	0	0	12	7	1	0	19	5	1492	74496	660	3	9	20	46	2	0	4	0	0	13	3	5	16708	40	2	22	151114	1	0	184	21	11	23	0	22	3	0	0	0	0	0	9	6	5	0	43	13	6	180	1	11	96	0	0	0	41	863	0	0	2705	0	1	1	0	52	1582	5233	252923	98	0	48	388	13	72	0	38	5	72	0	16830	6	14	0	42428	2	134	705	6
NS6	0	0	0	4	7	0	0	43	26981	1	283	0	54082	249	370821	0	0	23	431226	11	0	79	34160	0	4	115	0	65	3	51	0	0	4518	10258	3062	3	45872	4	698	0	0	0	0	0	4	0	889	3957	0	2194	658	1441	4740	723	49	3194	385820	0	83	2409	0	11	4	142	2053	3	0	0	3	26	23	190	19	88	0	112	0	0	6	23	1247	7158	316	225	28	0	79	0	0	0	2	0	1	13	0	2150	213	180	1	35767	0	0	0	0	0	8	2	1	19	49	2	0	27	6	0	11	4579	2	931	0	0	68961	412	2	49	0	0	132	1	635845	0	260	955	0	0	0	3707	189	0	616	53985	5	0	4284	1234	0	14	0	89	0	39	0	6816	0	28	13	4	0	44	3197	20
NS62	0	0	0	1093	22	13677	0	23226	21313	0	361	1	179078	5	567381	0	0	40	26173	7	149	71299	302404	0	16	8	0	5730	0	1318	0	0	6325	52353	129	0	464065	12681	0	0	0	0	0	0	0	0	1994	2199	0	1863	7238	2941	912	352	17	9447	174356	0	684	726	6	0	26	5	790	2	0	0	187	2169	322	11	0	43	39	137	0	0	18	21	6638	10133	34437	6	0	98	2438	0	46	149	0	137	23	29	0	5359	18574	22	761	96012	0	4	0	0	0	18	0	18	7580	0	0	7	0	0	0	0	319	0	2384	79	0	6325	10	72	10	0	0	6	1038	7751	0	5	46	0	1	1	0	275	0	2931	44209	49	0	3509	2143	43	89	0	120	0	129	0	6774	0	57	0	237	3	31	8905	7
NS67	5	0	0	1687	5	5559	0	13516	59	0	495	0	52315	190	3329	4	14	5	23770	1	69	297827	38242	8	145	37	1	601	0	1013	7	0	4426	22189	92776	0	123332	64	60	0	0	0	3	0	0	0	34476	4793	0	16461	7583	13210	76970	2874	0	15	359553	0	460	1198	0	9	457	187	6659	34	0	7	131	15	9	147	0	88	0	3806	0	0	2	5	10329	8370	5912	2	46	24	226	4	0	0	0	147	16	29000	26	605	22633	11	3511	577299	3	0	271	0	0	99	0	79	26	5	0	6	3	0	0	2	1	25	8261	4	0	3239	7	72	152	30	31	107	5	14747	0	12	16678	0	0	0	0	2946	1089	1463	54602	42	414	123352	95847	765	336	1	6748	0	13	12	5867	130	13	263	9113	0	314	8962	1
NS7	190	232	0	231	5	0	1	8	4353	25	118	0	50592	7	36325	0	11	464	18029	8	66	230577	90477	0	29	225	0	6792	5	39	0	86	299	15047	97004	1	51985	8	0	0	5	67	3	0	11	0	3651	5254	1	2108	2682	450	6841	315	0	766	1265827	0	341	1928	0	0	0	48	190	3	31	5	243	111	135	853	0	2	0	188	11	0	19	13	399	4555	1115	0	8	247	472	2	0	5	0	1	5	73132	18	721	108	0	77	38413	3570	849	0	0	0	36	0	34	38	20	0	8	0	0	28	0	584	113	329	22	0	4032	0	2	8	0	0	5	435	18697	0	1	43351	0	1	0	0	73	0	24219	48957	70	0	279	325	2	55	1	1957	0	1	0	12609	10466	21	3	27814	0	1589	10149	0
NS70	44	331	0	286	32	1450	0	8	866	2	817	0	99171	0	337826	0	8	0	18739	0	0	97178	157037	83	2	17	2	1365	0	177	0	0	1488	20500	56439	0	134487	18	0	0	2	0	0	0	0	0	3693	2015	0	1046	8366	660	1534	389	0	14060	856527	0	239	1667	1	2	0	3	1019	11	10	0	75	423	45	316	0	4	0	86	0	0	29	7	1723	15258	3480	0	27	2	1490	0	0	0	0	0	0	3	179	12994	10	8	15	47358	0	0	6129	32	45	0	0	58	0	0	0	0	0	0	0	0	5	4	1095	6	19	3952	591	51	70	0	0	0	218	32078	0	1	157522	1	0	0	57	321	4267	2389	49820	116	0	17162	1170	0	54	0	309	0	40	0	30560	1172	20	0	8337	0	351	4235	1
NS71	65	27	0	2533	15	2762	0	106047	1998	0	101	5	61578	85	542850	0	15	11	94093	37	0	334365	66109	0	0	80	0	4927	631	3455	7	0	29958	39081	65703	0	102557	37	0	0	1	79	0	0	0	0	16441	3726	0	22773	9591	13833	0	6047	0	474	42323	0	395	74304	2	0	0	22	1931	34	0	15	157	488	0	10	3	42	0	686	64	44	48	12	4775	530	24074	5	224	3	2169	0	348	29	0	0	38	85	3	256	3251	110	111090	144525	8	0	4	37	0	0	0	114	24004	4	0	0	5	0	49	2	227	2	2568	76	0	3912	20	0	432	3	0	0	5855	32886	0	4	141	22	15	0	0	488	0	35468	28862	63	0	13091	57028	79	109	0	132	0	11	0	16261	0	29	0	31390	0	0	27610	171
NS72	405	405	0	4290	0	225	0	3441	43	0	2513	0	256361	0	117404	0	17	4	637	0	0	516100	333400	3	1	2	0	130	13	491	0	0	92782	63489	211028	0	103673	2	0	0	7	0	2	1571	0	0	2089	770	0	459	1416	1072	363	948	0	25817	119299	0	162	2602	6	0	0	38	249	0	16	0	1160	38	429	28	0	0	0	31	0	6122	52	7	2708	2961	2397	53	64	1455	7232	23	21	0	15	0	35	154931	319	22003	1504	50	2077	49664	18216	1070	155	0	0	72	0	452	592	17	0	24	8	0	0	0	13	64	123	12	0	390	0	106	169	27	0	6	5	917	0	0	3262	7	0	0	56	62	161	536	20745	187	0	131	3899	5	218	0	26	0	4344	0	46405	106	26	22	1750	0	74	1788	22
NS77	1	24846	0	9	0	315	5	0	10012	0	76	0	10954	0	36669	12	0	0	87971	39	0	7421	12831	0	39	2879	0	1364	0	51	2	2	7341	36353	4553	0	26421	0	0	0	0	0	15	5	0	0	8430	171	1	5388	837	1332	268664	379	2	2416	797148	0	165	253	0	0	0	9	5671	4	36	0	62	97	15	180	0	37	4	418	0	0	0	4	413	15694	3282	1	0	0	43	1	0	1	0	0	0	3	3	4148	238	256	95	36580	0	0	0	0	0	0	0	27	4	0	0	9	0	5	0	0	6213	0	12572	0	0	67660	66	0	22	0	15	0	5648	361505	0	17	269477	0	6	0	103	4355	0	29	17972	64	0	62	6530	0	14	10	3695	0	0	0	11017	328	1	0	185	0	298	34830	1
NS78	0	71	0	513	3	89	0	15	1455	0	1106	0	397936	0	178842	0	11	63	4448	1	18	223533	127966	47	16	26	0	393	1971	158	0	0	3154	27419	73422	0	354461	2	0	39	0	0	0	0	0	0	3926	258	0	2481	1023	1329	2829	652	0	7665	397461	2	588	34357	0	12	18	2	312	7	1	0	113	79	93	42	0	7	12	177	0	0	80	9	1036	29830	1542	0	59	3	1411	0	0	49	0	0	166	4190	0	4239	120	15	221	110944	0	0	7357	0	29	8	0	51	0	0	0	0	0	0	0	242	211	3080	883	86	0	799	15	42	11	0	5	6	5	2139	5	0	11536	0	0	0	335	70	4278	14503	48671	66	0	343	7768	391	53	17	225	0	217	0	96288	545	183	60	6214	0	85	13997	0
NS79	11	1	0	129	0	0	0	1	2339	0	46	0	102426	0	153918	1	1	12	54919	0	117	188188	133900	56	2	4	0	396	0	39	0	0	4033	9988	38856	0	98345	10	0	14	0	0	0	1	0	0	14974	3475	0	2070	7814	938	1000	513	0	11892	1172017	0	400	4123	2	0	7	1	1050	2	5	0	19	650	10	8	0	5	4	103	0	0	30	9	344	266	1571	30	44	1	647	0	0	0	0	0	0	3	1	6104	4	77	35	92876	0	0	3673	0	14	0	0	9	6	0	0	0	0	0	0	8	396	0	3198	0	0	1718	0	0	48	0	10	0	3249	23932	0	0	14	8	9	0	0	74	2482	85	26212	23	0	39212	486	0	4	0	555	18	0	0	4502	0	59	0	132	12	17	4337	29
NS81	39	45	0	142	0	0	1	994	712	4	341	0	385774	37	694552	0	5	47	3970	0	0	121745	139568	286	14	1	0	204	344	1016	0	0	6346	14020	3	0	63810	16	0	16	2	0	0	2	0	0	15970	13673	0	162	10152	2245	2812	697	0	18835	235031	0	3008	975	1	0	0	48	1223	0	8	0	80	1650	58	55	0	13	0	74	9	0	58	5	1449	1691	2324	745	43	8	72045	1	411	0	0	5	159	21	364	11668	26877	24	2392	191344	0	2648	11222	81	123	34	0	51	20988	3	0	21	0	0	0	6	0	0	369	184	13	1614	0	2	241	0	4	3	0	2485	0	0	4	9	0	5	0	49	7261	11869	71601	0	0	6820	4544	16	66	0	85	38	54	1	19110	39	687	0	7425	0	18	2840	0
NS83	67	2771	0	516	14	2633	0	8720	2853	0	62	0	100350	0	47421	1	20	14	17882	2	38	63346	107298	11	23	0	0	915	0	624	5	0	930	53257	123200	2	178373	46	0	0	1	0	2	0	0	4	25286	709	0	2820	14716	2202	831	14874	0	11727	1013477	0	509	7436	1	0	0	8	1316	6	0	0	217	1698	44	388	0	10	0	500	0	4816	45	22	1134	7884	1843	5	70	7	887	0	6	25	0	0	28	13040	16	9759	214	41	308	70322	0	2	721	0	0	8	0	37	18	3	4	0	0	0	0	5	802	65	18118	17	0	7103	22	14	160	0	2	0	2320	24416	3	0	17698	5	0	0	0	1424	570	7353	78706	88	0	53710	4474	0	49	0	3829	0	97	0	45212	8306	69	0	10659	2	50	18550	5
NS86	153	921	0	584	5	139	0	11	888	0	181	0	23261	2	246594	0	6	0	2397	0	0	63177	61745	13	201	3	0	179	0	81	0	0	758	27314	7418	0	287759	0	0	0	0	0	0	0	0	2	4566	41	0	987	1020	1135	5991	210	1	3446	1263942	1	1327	3847	0	0	0	0	540	11	0	0	155	147	32	1424	0	9	0	301	0	146	8	4	1116	2501	1269	0	16	0	2688	1	31	55	0	0	0	9101	38	2673	1	6	193	89484	0	412	646	17	28	3	0	6	1	0	0	3	0	0	0	27	54	614	749	0	0	760	114	5	40	1	0	0	0	850	0	0	5904	0	1	0	135	88	2249	3908	43026	117	0	11965	2528	40	20	0	67	43	241	0	22884	767	46	5	8	0	14	2356	1
NS9	0	0	0	11	32	665	0	27	100677	0	394	0	76286	13	344154	7	0	24	320496	124	0	2795	72737	0	27	45	13	5579	65	549	1	0	47221	51366	7151	15	101694	0	0	0	0	0	0	0	0	0	11155	1054	0	2748	4357	2452	51785	1183	4	1892	596833	0	6764	2718	0	0	0	3	2038	11	8	0	15	205	16	16	0	29	19	834	0	0	50	2	1265	907	2248	0	11	0	5180	0	32	0	0	0	43	62	4	2735	123	104	50	84230	60	0	0	0	0	14	0	41	34	0	5	2	0	0	0	3	15314	2	7872	0	0	61952	6	0	0	0	0	13	6111	129790	0	3	336	4	0	0	0	2934	0	1399	23548	7	0	25857	3891	0	3	0	202	0	23	0	10037	77	11	0	105	0	40	19500	0
